Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1045)",,,"Reconstruction Position - Unlabeled Track (1373)",,,"Reconstruction Position - Unlabeled Track (1377)",,,"Reconstruction Position - Unlabeled Track (1404)",,,"Reconstruction Position - Unlabeled Track (1465)",,,"Reconstruction Position - Unlabeled Track (1481)",,,"Reconstruction Position - Unlabeled Track (1509)",,,"Reconstruction Position - Unlabeled Track (1514)",,,"Reconstruction Position - Unlabeled Track (1516)",,,"Reconstruction Position - Unlabeled Track (1538)",,,"Reconstruction Position - Unlabeled Track (1539)",,,"Reconstruction Position - Unlabeled Track (1542)",,,"Reconstruction Position - Unlabeled Track (1548)",,,"Reconstruction Position - Unlabeled Track (1549)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
33,0,"-950.292","-682.507","1012.81","-1158.83","-579.319","1589.7","-1063.42","-680.858","490.037","-1201.21","-583.671","1210.22","-1421.93","-723.113","1344.88","-1435.01","-762.776","147.834","-1474.9","-790.169","1035.98","-1017.72","-702.375","1325.55","-1054.04","-556.685","854.68","-1352.03","-693.404","473.561","-1033.53","-723.788","127.579","-1369.22","-575.039","993.644","nan","nan","nan","nan","nan","nan"
34,0,"-950.246","-682.35","1012.83","-1158.81","-579.351","1589.69","-1063.45","-680.823","490.073","-1201.24","-583.704","1210.25","-1421.88","-723.305","1344.89","-1435","-762.783","147.826","-1474.9","-790.252","1035.99","-1017.68","-702.384","1325.56","-1054.11","-556.702","854.643","-1352.05","-693.441","473.552","-1033.53","-723.769","127.583","-1369.24","-575.103","993.67","nan","nan","nan","nan","nan","nan"
35,0,"-950.219","-682.212","1012.81","-1158.81","-579.364","1589.67","-1063.49","-680.798","490.073","-1201.25","-583.713","1210.26","-1421.77","-723.545","1344.83","-1434.99","-762.79","147.828","-1474.9","-790.332","1036","-1017.66","-702.377","1325.56","-1054.19","-556.724","854.636","-1352.08","-693.487","473.545","-1033.54","-723.762","127.576","-1369.28","-575.174","993.703","nan","nan","nan","nan","nan","nan"
36,0,"-950.17","-682.072","1012.85","-1158.82","-579.369","1589.66","-1063.54","-680.782","490.066","-1201.29","-583.744","1210.29","-1421.72","-723.721","1344.86","-1435","-762.812","147.849","-1474.93","-790.464","1035.99","-1017.61","-702.348","1325.54","-1054.21","-556.638","854.606","-1352.11","-693.474","473.607","-1033.52","-723.77","127.584","-1369.32","-575.218","993.752","nan","nan","nan","nan","nan","nan"
37,0,"-950.123","-681.91","1012.84","-1158.82","-579.378","1589.63","-1063.56","-680.776","490.077","-1201.32","-583.775","1210.32","-1421.72","-723.815","1344.97","-1435","-762.815","147.839","-1474.99","-790.646","1036","-1017.6","-702.331","1325.53","-1054.26","-556.496","854.624","-1352.14","-693.515","473.584","-1033.53","-723.768","127.595","-1369.33","-575.279","993.774","nan","nan","nan","nan","nan","nan"
38,0,"-950.118","-681.797","1012.84","-1158.81","-579.371","1589.62","-1063.6","-680.768","490.086","-1201.36","-583.791","1210.33","-1421.68","-723.945","1345","-1435","-762.829","147.843","-1475.06","-790.838","1035.99","-1017.58","-702.3","1325.52","-1054.32","-556.423","854.632","-1352.18","-693.49","473.62","-1033.55","-723.758","127.607","-1369.34","-575.343","993.809","nan","nan","nan","nan","nan","nan"
39,0,"-950.085","-681.659","1012.86","-1158.8","-579.372","1589.58","-1063.63","-680.739","490.09","-1201.4","-583.805","1210.33","-1421.67","-724.045","1345.07","-1435.01","-762.849","147.826","-1475.11","-791.007","1035.99","-1017.55","-702.239","1325.48","-1054.36","-556.281","854.664","-1352.22","-693.446","473.664","-1033.57","-723.742","127.607","-1369.36","-575.415","993.864","nan","nan","nan","nan","nan","nan"
40,0,"-950.031","-681.466","1012.84","-1158.77","-579.361","1589.58","-1063.71","-680.81","490.037","-1201.47","-583.806","1210.37","-1421.64","-724.167","1345.1","-1435.02","-762.863","147.809","-1475.16","-791.187","1035.98","-1017.56","-702.153","1325.44","-1054.42","-556.184","854.664","-1352.26","-693.447","473.67","-1033.57","-723.749","127.596","-1369.39","-575.476","993.909","nan","nan","nan","nan","nan","nan"
41,0,"-949.99","-681.308","1012.86","-1158.73","-579.353","1589.54","-1063.75","-680.758","490.036","-1201.53","-583.804","1210.41","-1421.61","-724.267","1345.14","-1434.99","-762.861","147.723","-1475.14","-791.135","1036.05","-1017.54","-702.079","1325.4","-1054.44","-556.095","854.683","-1352.29","-693.441","473.644","-1033.59","-723.748","127.576","-1369.39","-575.522","993.948","nan","nan","nan","nan","nan","nan"
42,0,"-949.947","-681.125","1012.88","-1158.65","-579.336","1589.49","-1063.86","-680.722","489.997","-1201.57","-583.787","1210.41","-1421.57","-724.35","1345.18","-1434.99","-762.874","147.71","-1475.14","-791.124","1036.14","-1017.53","-702.02","1325.37","-1054.47","-555.964","854.715","-1352.35","-693.408","473.651","-1033.61","-723.715","127.576","-1369.4","-575.59","994.033","nan","nan","nan","nan","nan","nan"
