Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1045)",,,"Reconstruction Position - Unlabeled Track (1370)",,,"Reconstruction Position - Unlabeled Track (1373)",,,"Reconstruction Position - Unlabeled Track (1377)",,,"Reconstruction Position - Unlabeled Track (1383)",,,"Reconstruction Position - Unlabeled Track (1402)",,,"Reconstruction Position - Unlabeled Track (1404)",,,"Reconstruction Position - Unlabeled Track (1409)",,,"Reconstruction Position - Unlabeled Track (1430)",,,"Reconstruction Position - Unlabeled Track (1431)",,,"Reconstruction Position - Unlabeled Track (1432)",,,"Reconstruction Position - Unlabeled Track (1433)",,,"Reconstruction Position - Unlabeled Track (1438)",,,"Reconstruction Position - Unlabeled Track (1440)",,,"Reconstruction Position - Unlabeled Track (1442)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
393,0,"-1112.62","-885.212","1114.69","-1370.42","-278.332","733.436","-1231.58","-375.771","1551.63","-1182.98","-753.581","476.199","-1319.51","-820.187","119.62","-1162.44","-686.263","1339.49","-1131.44","-511.381","1169.49","-1352.78","-354.882","940.716","-1039.17","-1025.8","938.203","-1231.7","-326.325","140.846","-1132.27","-386.374","490.659","-1332.44","-328.626","1244.74","-1168.3","-740.272","922.814","-1292.83","-457.996","880.115","nan","nan","nan"
394,0,"-1106.85","-880.31","1113.99","-1357.28","-262.244","735.391","-1230.99","-373.54","1552.08","-1181.37","-750.949","475.539","-1319.36","-819.594","119.732","-1162.14","-683.494","1339.07","-1130.09","-507.777","1170.09","-1344.47","-344.076","941.145","-1030.1","-1016.1","934.525","-1231.1","-325.92","140.272","-1130.23","-383.058","490.894","-1330.3","-325.121","1245.63","-1168.67","-737.144","922.331","-1291.23","-454.834","881.565","nan","nan","nan"
395,0,"-1101.05","-875.422","1113.55","-1343.8","-246.005","738.217","-1230.43","-371.395","1552.64","-1179.46","-748.198","474.72","-1319.2","-819.042","119.79","-1161.86","-680.745","1338.74","-1129.05","-504.561","1170.66","-1336","-333.18","942.173","-1020.82","-1005.65","930.734","-1230.64","-325.343","139.909","-1128.17","-379.959","490.91","-1328.2","-321.739","1246.79","-1169.01","-733.922","921.739","-1289.33","-450.643","881.832","nan","nan","nan"
396,0,"-1095.23","-870.65","1113.32","-1330.04","-229.565","741.893","-1229.87","-369.367","1553.19","-1177.21","-745.44","473.845","-1318.88","-818.427","119.93","-1161.65","-678.135","1338.55","-1127.9","-501.427","1171.32","-1327.34","-322.19","943.708","-1011.32","-994.661","927.389","-1230.53","-324.288","140.032","-1126.17","-376.903","490.88","-1326.15","-318.469","1248.25","-1169.48","-730.621","921.157","-1287.21","-446.316","882.783","nan","nan","nan"
397,0,"-1089.88","-865.952","1113.47","-1316.06","-213.037","746.51","-1229.33","-367.472","1553.83","-1174.68","-742.622","472.996","-1318.55","-817.795","120.075","-1161.55","-675.692","1338.47","-1126.82","-498.393","1172.06","-1318.51","-311.151","945.83","-1001.59","-983.134","924.548","-1230.07","-324.291","138.93","-1124.67","-373.759","490.252","-1324.09","-315.348","1249.83","-1170.15","-727.205","920.441","-1285.19","-442.096","883.641","nan","nan","nan"
398,0,"-1084.88","-861.658","1113.99","-1301.92","-196.554","752.08","-1228.78","-365.78","1554.47","-1171.36","-739.468","472.106","-1318.02","-817.189","120.32","-1161.54","-673.416","1338.48","-1125.81","-495.627","1172.9","-1309.49","-300.07","948.53","-991.745","-971.202","922.276","-1229.82","-323.304","138.958","-1122.59","-370.74","490.028","-1322.1","-312.371","1251.65","-1174.12","-722.901","918.341","-1283.2","-437.801","884.608","nan","nan","nan"
399,0,"-1080.26","-857.742","1114.97","-1287.64","-180.037","758.643","-1228.21","-364.328","1555.12","-1168.94","-736.833","470.955","-1318.13","-816.254","120.789","-1161.69","-671.31","1338.52","-1124.82","-493.177","1173.81","-1300.37","-288.97","951.882","-981.846","-958.603","920.417","-1229.3","-323.091","137.978","-1120.22","-367.711","489.871","-1320.19","-309.546","1253.75","-1172.94","-720.182","918.342","-1281.16","-433.486","885.487","nan","nan","nan"
400,0,"-1076.01","-854.249","1116.43","-1273.21","-163.567","766.225","-1227.67","-363.118","1555.83","-1165.46","-733.682","469.987","-1315.78","-814.341","123.075","-1162.01","-669.51","1338.58","-1123.7","-490.802","1174.84","-1291.45","-278.425","955.937","-972.145","-945.7","919.361","-1228.91","-322.478","137.556","-1119.45","-365.027","489.268","-1318.28","-306.912","1256.06","-1173.23","-716.953","917.751","-1279.18","-429.296","886.276","nan","nan","nan"
401,0,"-1072.21","-851.365","1118.33","-1258.77","-147.146","774.916","-1227.14","-362.22","1556.61","-1162.32","-730.375","469.31","-1315.32","-814.394","122.23","-1162.59","-667.856","1338.79","-1122.63","-488.774","1175.99","-1282.25","-267.378","960.718","-962.675","-932.143","918.903","-1228.83","-321.916","137.117","-1117.59","-362.197","488.775","-1316.35","-304.513","1258.57","-1174.14","-713.846","916.918","-1277.12","-425.206","886.934","nan","nan","nan"
402,0,"-1068.81","-849.092","1120.52","-1244.34","-130.771","784.74","-1226.65","-361.601","1557.36","-1158.95","-727.452","468.459","-1314.51","-813.415","122.919","-1163.4","-666.508","1338.87","-1121.57","-487.177","1177.22","-1273.08","-256.342","966.26","-953.682","-918.375","919.318","-1228.42","-322.031","136.023","-1115.1","-359.367","488.82","-1314.45","-302.288","1261.32","-1175.2","-710.884","916.076","-1274.95","-421.113","887.607","nan","nan","nan"
403,0,"-1065.75","-847.434","1122.88","-1230.03","-114.44","795.641","-1226.16","-361.298","1558.11","-1155.46","-724.465","467.569","-1314.03","-812.142","123.862","-1164.46","-665.443","1339.07","-1120.55","-485.779","1178.4","-1264.25","-245.3","972.598","-945.222","-904.667","920.928","-1228.27","-321.392","135.673","-1113.33","-356.551","488.164","-1312.55","-300.251","1264.33","-1176.32","-708.034","915.161","-1272.68","-417.304","888.09","nan","nan","nan"
404,0,"-1062.83","-845.906","1125.31","-1215.91","-98.3286","807.87","-1225.67","-361.321","1558.93","-1151.85","-721.592","466.842","-1314.27","-811.754","123.443","-1165.83","-664.623","1339.34","-1119.65","-484.539","1179.68","-1254.08","-235.619","978.241","-937.18","-891.415","923.936","-1228.12","-320.699","135.634","-1111.54","-353.732","487.96","-1310.53","-298.461","1267.44","-1177.52","-705.371","914.307","-1270.31","-413.886","888.333","nan","nan","nan"
405,0,"-1060.09","-844.682","1127.88","-1201.93","-82.3794","821.108","-1225.25","-361.627","1559.8","-1148.06","-718.714","466.2","-1313.18","-810.977","124.024","-1167.45","-664.107","1339.4","-1119.02","-483.699","1181.01","-1244.95","-225.004","985.824","-930.317","-878.644","927.508","-1227.65","-320.301","135.096","-1109.65","-351.127","487.284","-1308.49","-296.873","1270.89","-1178.75","-702.828","913.458","-1267.98","-410.462","888.697","nan","nan","nan"
406,0,"-1057.57","-843.691","1130.59","-1188.21","-67.3603","835.242","-1224.81","-362.226","1560.69","-1144.79","-716.21","465.34","-1311.42","-810.078","125.082","-1169.29","-663.786","1339.26","-1118.45","-483.053","1182.2","-1235.95","-214.52","994.187","-924.164","-866.451","931.956","-1227.45","-319.908","134.567","-1107.8","-348.523","486.925","-1306.29","-295.6","1274.53","-1180.04","-700.425","912.671","-1265.72","-407.023","889.079","nan","nan","nan"
407,0,"-1055.42","-842.916","1133.23","-1174.61","-51.8337","850.71","-1224.39","-363.117","1561.6","-1140.47","-713.502","464.767","-1311.55","-808.808","126.2","-1171.53","-663.918","1339.18","-1117.9","-482.723","1183.43","-1227.03","-204.251","1003.26","-918.889","-855.235","937.122","-1227.26","-319.219","134.462","-1105.79","-346.055","486.512","-1303.98","-294.528","1278.3","-1180.62","-698.917","912.215","-1264.38","-403.259","890.324","nan","nan","nan"
408,0,"-1053.89","-842.592","1136.06","-1161.4","-36.5929","867.572","-1223.99","-364.393","1562.56","-1136.28","-710.801","464.502","-1310.25","-807.779","127.307","-1173.89","-664.291","1338.99","-1117.32","-482.641","1184.68","-1218.31","-194.16","1013.18","-914.525","-845.248","943.072","-1226.98","-318.593","134.351","-1103.93","-343.753","485.933","-1301.62","-293.807","1282.3","-1181.58","-696.78","911.897","-1262.35","-400.107","890.424","nan","nan","nan"
409,0,"-1053.04","-842.709","1138.8","-1148.65","-21.647","885.825","-1223.51","-365.869","1563.42","-1132.2","-708.352","464.098","-1308.47","-806.83","128.241","-1176.2","-664.96","1338.62","-1116.74","-482.914","1185.92","-1209.78","-184.3","1023.9","-911.035","-836.436","949.68","-1226.79","-318.543","133.558","-1102","-341.467","485.616","-1299.72","-292.848","1287.21","-1183.65","-693.685","910.959","-1260.42","-397.053","890.643","nan","nan","nan"
410,0,"-1053.09","-843.396","1141.55","-1136.35","-7.48747","904.945","-1223.04","-367.674","1564.29","-1128.05","-706.049","463.937","-1307.12","-805.488","129.6","-1178.81","-665.678","1338.38","-1116.09","-483.387","1187.1","-1201.55","-174.667","1035.61","-908.518","-828.814","956.343","-1226.47","-318.289","133.239","-1100.15","-339.411","485.055","-1297.01","-293.165","1291.11","-1184.88","-691.213","909.893","-1258.53","-394.005","890.879","nan","nan","nan"
411,0,"-1053.97","-844.833","1144.29","-1124.35","6.43668","925.741","-1222.55","-369.759","1565.17","-1123.87","-703.98","463.843","-1305.44","-803.896","130.13","-1181.17","-666.675","1337.97","-1115.53","-484.248","1188.35","-1193.64","-165.382","1048.18","-906.866","-822.687","963.305","-1226.22","-317.847","133.077","-1098.26","-337.386","484.457","-1294.76","-293.386","1295.79","-1185.98","-688.936","909.098","-1256.78","-391.003","891.132","nan","nan","nan"
412,0,"-1055.76","-846.871","1146.97","-1113.18","19.9613","947.974","-1222.05","-372.082","1565.98","-1119.78","-702.248","463.721","-1302.82","-800.343","134.124","-1183.52","-667.741","1337.32","-1114.96","-485.1","1189.45","-1186.07","-156.502","1061.52","-906.038","-817.989","970.244","-1225.95","-317.405","132.932","-1096.73","-335.993","483.373","-1292.77","-293.906","1300.68","-1186.87","-686.52","908.29","-1255.06","-388.239","891.391","nan","nan","nan"
413,0,"-1058.36","-849.489","1149.37","-1102.52","32.6782","971.458","-1221.54","-374.627","1566.74","-1115.59","-700.652","463.891","-1301.9","-799.882","132.309","-1185.88","-668.846","1336.59","-1114.45","-486.125","1190.47","-1178.81","-147.967","1075.66","-905.952","-814.35","977.006","-1225.77","-317.227","132.34","-1094.76","-334.18","482.719","-1290.84","-294.765","1305.55","-1187.63","-684.285","907.447","-1253.36","-384.068","891.829","nan","nan","nan"
414,0,"-1061.78","-852.693","1151.53","-1092.59","44.8685","996.133","-1221.04","-377.337","1567.48","-1111.58","-699.366","463.776","-1299.85","-797.944","133.434","-1188.32","-670.132","1335.75","-1113.98","-487.315","1191.56","-1171.92","-139.756","1090.52","-906.788","-812.73","982.977","-1225.57","-317.021","132.077","-1092.73","-332.283","482.107","-1288.95","-295.984","1310.58","-1188.32","-682.155","906.531","-1251.91","-381.681","891.932","nan","nan","nan"
415,0,"-1065.77","-856.217","1153.12","-1083.35","56.4839","1022.06","-1220.55","-380.249","1568.16","-1107.9","-698.534","464.008","-1296.98","-795.47","133.484","-1190.89","-671.546","1334.78","-1113.38","-488.381","1192.67","-1165.37","-131.875","1106.16","-908.254","-812.266","988.564","-1225.27","-317.119","131.344","-1090.9","-330.492","481.24","-1287.04","-297.521","1315.55","-1188.85","-680.203","905.71","-1250.52","-379.862","891.741","nan","nan","nan"
416,0,"-1070.34","-859.959","1154.24","-1075.13","67.7699","1049.69","-1220.11","-383.32","1568.76","-1104.29","-697.522","464.096","-1293.86","-792.551","133.327","-1193.6","-673.039","1333.63","-1112.85","-489.476","1193.65","-1159.24","-124.404","1122.42","-910.287","-813.266","993.475","-1225.06","-316.733","131.119","-1089","-328.664","480.375","-1285.12","-299.362","1320.66","-1189.18","-678.171","904.773","-1248.77","-378.257","891.167","nan","nan","nan"
417,0,"-1075.45","-863.849","1154.8","-1067.51","78.164","1078.26","-1219.65","-386.495","1569.3","-1100.88","-696.52","463.782","-1290.31","-789.49","132.741","-1196.43","-674.731","1332.35","-1113.17","-490.713","1194.28","-1153.51","-117.462","1139.17","-912.842","-815.397","997.564","-1224.84","-316.468","130.902","-1086.82","-326.227","480.14","-1283.03","-301.292","1325.59","-1189.44","-676.399","903.828","-1247.38","-376.339","890.973","nan","nan","nan"
418,0,"-1081.02","-867.78","1154.79","-1060.79","87.5117","1108.03","-1219.18","-389.827","1569.71","-1098.04","-696.396","464.026","-1286.24","-786.283","131.343","-1199.37","-676.547","1330.7","-1112.91","-491.913","1195.13","-1148.38","-111.047","1156.46","-915.985","-818.436","1000.75","-1224.58","-316.356","130.466","-1084.74","-324.288","479.452","-1281.37","-303.623","1330.9","-1189.77","-674.736","902.739","-1245.9","-374.411","890.764","nan","nan","nan"
419,0,"-1087","-871.696","1154.22","-1054.88","95.5092","1139.08","-1218.71","-393.266","1570.05","-1094.9","-695.311","463.963","-1281.77","-783.3","130.161","-1202.41","-678.514","1328.81","-1112.66","-493.08","1195.85","-1143.82","-105.318","1174.12","-919.665","-822.215","1003.08","-1224.3","-315.883","130.505","-1082.75","-322.448","478.674","-1279.48","-306.242","1335.87","-1189.44","-672.693","902.099","-1244.37","-372.629","890.37","nan","nan","nan"
420,0,"-1093.3","-875.586","1152.94","-1049.91","102.416","1170.82","-1218.34","-396.831","1570.38","-1092.14","-694.534","463.928","-1276.95","-780.181","128.398","-1205.51","-680.641","1326.84","-1112.51","-494.543","1196.83","-1139.87","-100.301","1191.95","-923.495","-826.539","1004.74","-1224.04","-315.576","130.438","-1080.63","-320.58","477.873","-1277.67","-308.912","1340.69","-1189.29","-671.082","901.067","-1242.8","-370.96","890.011","nan","nan","nan"
421,0,"-1099.94","-879.472","1151.19","-1045.93","107.84","1203.3","-1217.92","-400.594","1570.55","-1089.5","-693.806","463.565","-1271.69","-777.124","126.153","-1208.59","-682.836","1324.63","-1112.42","-496.042","1197.77","-1136.52","-96.0203","1209.89","-928.301","-831.269","1005","-1223.68","-315.407","130.16","-1078.38","-318.059","477.631","-1275.97","-311.776","1345.49","-1189.07","-669.659","900.028","-1241.37","-369.483","889.539","nan","nan","nan"
422,0,"-1106.86","-883.219","1148.82","-1043.05","111.611","1236.14","-1217.58","-404.502","1570.65","-1086.86","-692.85","462.984","-1266.49","-774.045","123.883","-1211.61","-684.922","1322.07","-1112.26","-497.606","1198.7","-1133.84","-92.5467","1227.79","-933.043","-836.362","1004.82","-1223.47","-315.306","129.817","-1076.18","-316.302","476.505","-1274.3","-314.957","1350.29","-1188.79","-668.205","898.736","-1239.76","-368.116","888.902","nan","nan","nan"
423,0,"-1114.03","-887.021","1145.93","-1041.52","113.722","1268.98","-1217.27","-408.603","1570.73","-1084.46","-692.291","462.886","-1261.32","-771.044","121.829","-1214.5","-687.115","1319.25","-1112","-499.462","1199.66","-1131.85","-89.8884","1245.81","-938.2","-841.61","1004.21","-1223.17","-315.283","129.383","-1073.67","-314.193","475.563","-1272.69","-318.369","1355.05","-1188.51","-667.052","897.375","-1238.2","-366.91","888.303","nan","nan","nan"
424,0,"-1121.38","-890.615","1142.59","-1041.56","114.157","1301.64","-1217","-412.885","1570.62","-1081.55","-692.048","462.128","-1256.91","-768.686","120.292","-1217.45","-689.236","1316.51","-1111.73","-501.302","1200.22","-1130.69","-87.984","1264.01","-943.589","-846.491","1002.93","-1222.93","-315.329","128.876","-1071.13","-312.194","474.491","-1271.08","-322.162","1359.87","-1188.23","-666.01","895.863","-1236.48","-365.86","887.518","nan","nan","nan"
425,0,"-1128.84","-893.973","1138.69","-1043.22","113.009","1333.87","-1216.74","-417.345","1570.4","-1078.46","-691.571","461.354","-1253.72","-766.055","118.79","-1220.65","-690.983","1313.66","-1111.48","-503.362","1200.94","-1131.7","-86.0733","1283.41","-949.144","-851.124","1001.24","-1222.61","-315.162","128.689","-1068.29","-310.529","473.093","-1269.47","-326.309","1364.64","-1187.89","-664.919","894.351","-1234.72","-364.881","886.426","nan","nan","nan"
426,0,"-1136.34","-897.135","1134.45","-1046.47","110.339","1365.45","-1216.35","-421.714","1569.98","-1075","-691.317","460.512","-1253.01","-764.903","118.94","-1223.56","-692.876","1310.21","-1111.23","-505.319","1201.29","-1132.3","-85.9797","1301.78","-954.86","-855.187","999.118","-1222.39","-314.906","128.688","-1065.44","-308.544","472.05","-1267.92","-330.944","1369.53","-1187.57","-664.01","892.608","-1232.68","-364.184","884.892","nan","nan","nan"
427,0,"-1143.86","-899.97","1129.88","-1050.62","106.238","1395.7","-1216.17","-426.637","1569.42","-1071.44","-691.07","459.447","-1253.37","-764.384","119.475","-1226.51","-694.732","1306.52","-1111.06","-507.492","1201.56","-1133.94","-86.9021","1320.24","-960.667","-858.643","996.493","-1222.09","-315.075","128.12","-1062.26","-306.788","470.598","-1266.8","-335.733","1374.59","-1187.28","-663.308","890.74","-1230.91","-363.512","883.731","nan","nan","nan"
428,0,"-1151.32","-902.414","1124.77","-1055.66","100.555","1425","-1216.03","-431.764","1568.64","-1068.4","-691.045","458.263","-1253.71","-764.097","119.944","-1229.43","-696.537","1302.48","-1110.91","-509.678","1201.39","-1135.08","-89.66","1337.36","-966.527","-861.363","993.737","-1221.65","-315.171","127.619","-1058.84","-305.173","468.965","-1265.06","-341.757","1378.77","-1186.97","-662.752","888.739","-1228.91","-362.816","882.414","nan","nan","nan"
429,0,"-1158.76","-904.65","1119.52","-1061.16","93.6798","1452.85","-1215.96","-437.11","1567.61","-1065.66","-691.702","456.878","-1253.77","-763.723","119.742","-1232.35","-698.319","1298.12","-1110.76","-511.992","1200.93","-1139.55","-91.6203","1356.34","-972.483","-863.307","990.855","-1221.11","-315.276","127.138","-1055.08","-303.942","467.1","-1263.78","-347.885","1383.14","-1186.61","-662.34","886.33","-1226.79","-362.147","880.885","nan","nan","nan"
430,0,"-1166.1","-906.551","1113.79","-1066.99","85.6517","1479.17","-1215.86","-442.622","1566.22","-1063.32","-692.65","455.385","-1253.49","-763.461","119.035","-1235.18","-700.129","1293.39","-1110.63","-514.588","1200.28","-1143.01","-95.3574","1373.65","-978.43","-864.551","987.97","-1220.58","-315.085","126.981","-1051.51","-302.451","465.386","-1262.48","-354.439","1387.19","-1186.15","-661.808","883.949","-1224.53","-361.545","879.133","nan","nan","nan"
431,0,"-1173.45","-908.477","1107.83","-1073.2","76.6211","1504.01","-1215.88","-448.262","1564.55","-1061.23","-693.789","453.749","-1253.12","-763.601","118.423","-1237.89","-701.942","1288.35","-1110.43","-517.223","1199.11","-1146.36","-100.103","1389.79","-984.207","-865.17","984.933","-1220.13","-315.254","126.586","-1047.73","-301.013","463.544","-1261.17","-361.26","1390.98","-1185.69","-661.324","881.654","-1222.32","-360.857","877.102","nan","nan","nan"
432,0,"-1180.6","-909.871","1101.45","-1079.74","66.6447","1527.33","-1216.04","-454.036","1562.73","-1059.12","-695.213","452.163","-1252.94","-764.066","117.965","-1240.48","-703.761","1282.97","-1110.18","-520.082","1197.84","-1150.58","-105.696","1405.89","-989.84","-865.134","981.859","-1219.66","-315.283","126.28","-1043.76","-299.467","461.403","-1259.66","-368.339","1394.34","-1185.24","-660.846","879.129","-1220.06","-360.205","874.882","nan","nan","nan"
433,0,"-1187.74","-911.213","1094.86","-1086.9","55.7348","1549.31","-1216.22","-459.98","1560.7","-1056.81","-696.846","450.694","-1252.74","-764.485","117.737","-1242.96","-705.488","1277.31","-1109.87","-522.928","1196.07","-1155.29","-112.114","1421.14","-995.406","-864.75","979.2","-1218.98","-315.504","125.705","-1039.69","-298.071","459.365","-1258.13","-375.762","1397.13","-1184.81","-660.267","876.496","-1217.91","-359.547","872.465","nan","nan","nan"
434,0,"-1194.82","-912.229","1088.01","-1093.89","44.0063","1569.66","-1216.61","-466.189","1558.53","-1054.3","-698.718","449.095","-1252.6","-765.029","117.514","-1245.33","-707.288","1271.44","-1109.56","-525.779","1193.9","-1160.35","-119.45","1435.51","-1000.73","-863.843","976.858","-1218.29","-315.864","125.084","-1035.61","-296.324","457.561","-1256.61","-383.116","1399.1","-1184","-659.334","874.079","-1215.85","-358.846","869.911","nan","nan","nan"
435,0,"-1201.8","-913.027","1080.96","-1101.39","31.4681","1589.05","-1216.94","-472.31","1556.09","-1051.56","-700.686","446.975","-1252.13","-765.302","117.958","-1247.63","-709.042","1265.34","-1109.23","-528.639","1191.46","-1165.66","-127.579","1448.93","-1005.9","-862.379","974.413","-1217.75","-315.87","124.729","-1031.57","-294.94","455.424","-1255.1","-390.716","1400.49","-1183.97","-659.205","871.065","-1213.87","-358.247","867.195","nan","nan","nan"
436,0,"-1208.71","-913.534","1073.75","-1108.55","18.1143","1606.84","-1217.15","-478.283","1553.28","-1048.44","-702.752","444.794","-1251.83","-765.601","117.625","-1249.92","-710.732","1259.13","-1108.92","-531.31","1188.54","-1171.11","-136.321","1461.23","-1010.86","-860.495","971.992","-1217.2","-315.447","124.975","-1027.26","-293.692","452.982","-1254.28","-397.921","1401.28","-1183.57","-657.817","867.882","-1212.11","-357.277","864.768","nan","nan","nan"
437,0,"-1215.53","-913.768","1066.27","-1115.32","4.00332","1623.18","-1217.42","-484.449","1550.16","-1045.07","-704.967","442.501","-1251.52","-765.704","117.426","-1252.26","-712.365","1252.67","-1108.65","-533.949","1185.46","-1176.61","-145.484","1472.33","-1015.8","-859.129","970.229","-1216.43","-315.994","124.122","-1023.1","-292.463","450.7","-1253.57","-404.983","1401.1","-1183.38","-657.227","864.998","-1210.18","-356.565","861.707","nan","nan","nan"
438,0,"-1222.27","-913.807","1058.52","-1122.01","-10.6356","1638.53","-1217.79","-490.45","1546.88","-1041.55","-707.11","440.365","-1251.18","-765.608","117.629","-1254.63","-714.056","1246.17","-1108.42","-536.401","1182.17","-1182.14","-154.974","1482.22","-1020.42","-858.035","969.016","-1215.77","-316.366","123.728","-1018.92","-291.395","448.246","-1253.11","-411.792","1400.12","-1183.22","-656.485","861.901","-1208.55","-355.808","858.889","nan","nan","nan"
439,0,"-1228.88","-913.632","1050.41","-1128.1","-25.5935","1652.22","-1218.05","-496.638","1543.15","-1038.04","-709.293","438.875","-1250.66","-765.358","117.608","-1257.03","-715.543","1239.44","-1108.2","-538.887","1178.75","-1187.81","-164.768","1490.88","-1024.95","-856.692","967.041","-1215.14","-316.318","123.749","-1014.66","-290.877","445.467","-1252.94","-418.16","1398.5","-1183.22","-656.271","858.775","-1207.09","-355.434","855.768","nan","nan","nan"
440,0,"-1235.73","-913.121","1042.4","-1133.67","-40.5655","1664.31","-1218.36","-502.666","1539.16","-1034.56","-711.342","437.7","-1250","-765.215","117.701","-1259.46","-716.924","1232.51","-1108","-541.416","1175.1","-1193.42","-174.645","1498.41","-1029.34","-855.767","965.33","-1214.51","-316.931","122.873","-1010.71","-289.904","443.161","-1253.15","-424.084","1396.45","-1183.17","-655.854","855.294","-1205.76","-355.011","852.766","nan","nan","nan"
441,0,"-1242.29","-912.499","1033.71","-1138.85","-55.2555","1674.74","-1218.76","-508.527","1535.02","-1031.26","-713.466","436.629","-1249.54","-765.166","117.414","-1261.83","-718.316","1225.42","-1107.8","-544.2","1171.28","-1198.81","-184.391","1504.85","-1033.74","-854.686","962.867","-1214.07","-317.062","122.646","-1006.61","-289.003","440.682","-1253.7","-429.664","1394.03","-1183.58","-655.376","850.955","-1204.45","-354.562","849.691","nan","nan","nan"
442,0,"-1248.82","-911.769","1024.95","-1143.88","-69.6903","1683.55","-1219.13","-514.344","1530.65","-1028.14","-715.506","435.282","-1248.93","-765.092","117.526","-1264.13","-719.755","1218.2","-1107.6","-546.911","1167.17","-1203.91","-193.96","1510.09","-1037.87","-855.472","961.083","-1213.72","-317.091","122.513","-1002.99","-288.338","437.72","-1254.53","-434.854","1391.28","-1183.34","-655.161","846.73","-1203.09","-353.873","846.498","nan","nan","nan"
443,0,"-1255.19","-911.045","1015.8","-1148.76","-83.2714","1690.84","-1219.66","-519.909","1526.27","-1025.22","-717.426","433.613","-1248.39","-765.305","117.479","-1266.34","-721.164","1210.91","-1107.49","-549.643","1162.87","-1208.73","-203.121","1514.01","-1042.24","-854.924","959.182","-1213.22","-317.456","121.918","-999.127","-287.521","434.974","-1255.17","-440.371","1387.46","-1182.97","-654.684","842.868","-1202","-353.866","842.839","nan","nan","nan"
444,0,"-1261.46","-910.189","1006.67","-1153.75","-96.0894","1696.82","-1220.23","-525.385","1521.81","-1022.5","-719.324","431.478","-1248.23","-765.794","117.846","-1268.41","-722.617","1203.53","-1107.42","-552.443","1158.64","-1213.31","-212.047","1517.08","-1046.59","-855.033","957.335","-1212.6","-317.72","121.45","-995.189","-286.797","432.194","-1256.28","-445.134","1383.8","-1182.82","-654.545","838.799","-1201.05","-353.544","839.408","nan","nan","nan"
445,0,"-1267.51","-909.052","997.524","-1158.86","-108.278","1701.62","-1220.72","-530.836","1517.1","-1019.84","-721.003","429.053","-1248.09","-766.155","117.559","-1270.34","-724.164","1196.19","-1107.46","-554.929","1154.19","-1217.64","-220.326","1518.89","-1050.88","-855.221","955.722","-1212.06","-317.599","121.312","-991.462","-285.953","429.507","-1257.54","-449.662","1379.92","-1182.66","-654.538","834.726","-1200.16","-353.316","835.741","nan","nan","nan"
446,0,"-1273.16","-907.654","988.263","-1164.08","-119.786","1705.39","-1221.28","-536.112","1512.36","-1017.21","-722.593","426.38","-1248.01","-766.411","117.305","-1272.24","-724.768","1188.4","-1107.4","-556.709","1149.5","-1221.71","-228.152","1519.83","-1054.81","-855.983","954.476","-1211.46","-317.578","121.074","-987.755","-285.102","426.768","-1258.95","-453.978","1376.04","-1182.48","-654.295","830.455","-1199.3","-353.156","831.889","nan","nan","nan"
447,0,"-1278.45","-906.079","979.12","-1169.29","-130.709","1708.21","-1221.91","-541.13","1507.56","-1014.46","-723.813","423.57","-1247.79","-766.782","116.954","-1273.85","-726.659","1181.41","-1107.53","-558.186","1145.34","-1225.57","-235.523","1520.04","-1059","-856.211","952.261","-1210.95","-317.403","120.905","-984.138","-284.137","424.266","-1260.44","-458.14","1372.06","-1182.25","-654.168","826.268","-1198.57","-353.035","827.933","nan","nan","nan"
448,0,"-1283.59","-904.132","970.494","-1174.42","-140.987","1710.27","-1222.57","-545.89","1502.68","-1011.58","-724.644","420.497","-1247.63","-766.911","116.641","-1275.43","-728.018","1174.25","-1108.26","-560.546","1141.06","-1229.19","-242.509","1519.68","-1062.97","-856.761","950.02","-1210.17","-317.48","120.29","-980.6","-283.249","421.694","-1262.05","-462.13","1368.02","-1181.93","-654.189","822.244","-1197.9","-352.955","823.717","nan","nan","nan"
449,0,"-1288.47","-902.187","961.827","-1179.3","-150.749","1711.63","-1223.32","-550.266","1497.74","-1008.6","-725.076","417.527","-1248.65","-767.17","114.642","-1276.97","-729.206","1167.18","-1108.89","-562.286","1137.16","-1232.61","-249.159","1518.88","-1066.73","-857.69","947.806","-1209.48","-317.394","119.845","-977.227","-282.282","419.356","-1263.77","-465.94","1363.93","-1181.61","-654.102","818.111","-1197.42","-352.842","819.486","nan","nan","nan"
