Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1045)",,,"Reconstruction Position - Unlabeled Track (1370)",,,"Reconstruction Position - Unlabeled Track (1373)",,,"Reconstruction Position - Unlabeled Track (1377)",,,"Reconstruction Position - Unlabeled Track (1383)",,,"Reconstruction Position - Unlabeled Track (1402)",,,"Reconstruction Position - Unlabeled Track (1404)",,,"Reconstruction Position - Unlabeled Track (1409)",,,"Reconstruction Position - Unlabeled Track (1430)",,,"Reconstruction Position - Unlabeled Track (1431)",,,"Reconstruction Position - Unlabeled Track (1432)",,,"Reconstruction Position - Unlabeled Track (1433)",,,"Reconstruction Position - Unlabeled Track (1438)",,,"Reconstruction Position - Unlabeled Track (1440)",,,"Reconstruction Position - Unlabeled Track (1442)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
22,0,"-902.779","-659.048","1033.22","-1367.48","-535.849","978.133","-1198.09","-545.195","1603.86","-1054.88","-619.686","495.265","-1036.57","-687.83","125.309","-999.053","-659.093","1334.06","-1179.68","-540.598","1210.47","-1436.83","-760.976","1027.69","-1002.08","-531.637","870.573","-1369.77","-668.695","145.33","-1307.41","-609.901","485.818","-1406.27","-672.361","1334.36","nan","nan","nan","nan","nan","nan","nan","nan","nan"
23,0,"-902.778","-658.793","1033.21","-1367.54","-535.751","978.23","-1198.11","-545.234","1603.86","-1054.99","-619.632","495.256","-1036.57","-687.814","125.299","-999.063","-659.031","1334.06","-1179.72","-540.52","1210.54","-1436.91","-760.93","1027.68","-1002.14","-531.38","870.669","-1369.8","-668.714","145.356","-1307.46","-609.927","485.781","-1406.28","-672.386","1334.46","nan","nan","nan","nan","nan","nan","nan","nan","nan"
24,0,"-902.807","-658.565","1033.23","-1367.58","-535.632","978.274","-1198.11","-545.27","1603.85","-1055.1","-619.576","495.234","-1036.59","-687.796","125.313","-999.096","-659.006","1334.07","-1179.77","-540.438","1210.61","-1436.99","-760.834","1027.74","-1002.15","-531.071","870.748","-1369.8","-668.71","145.355","-1307.52","-609.928","485.758","-1406.27","-672.403","1334.53","nan","nan","nan","nan","nan","nan","nan","nan","nan"
25,0,"-902.778","-658.212","1033.15","-1367.66","-535.557","978.349","-1198.12","-545.312","1603.85","-1055.23","-619.552","495.187","-1036.58","-687.787","125.346","-999.095","-658.927","1334.07","-1179.82","-540.363","1210.67","-1437.07","-760.75","1027.8","-1002.19","-530.795","870.836","-1369.82","-668.739","145.354","-1307.59","-609.937","485.757","-1406.27","-672.418","1334.61","nan","nan","nan","nan","nan","nan","nan","nan","nan"
26,0,"-902.761","-657.972","1033.18","-1367.74","-535.452","978.403","-1198.11","-545.337","1603.84","-1055.36","-619.52","495.153","-1036.61","-687.745","125.367","-999.08","-658.859","1334.11","-1179.89","-540.288","1210.75","-1437.17","-760.688","1027.82","-1002.24","-530.551","870.859","-1369.85","-668.744","145.374","-1307.64","-609.942","485.73","-1406.26","-672.457","1334.65","nan","nan","nan","nan","nan","nan","nan","nan","nan"
27,0,"-902.711","-657.799","1033.33","-1367.82","-535.368","978.483","-1198.12","-545.389","1603.85","-1055.47","-619.476","495.163","-1036.61","-687.744","125.355","-999.084","-658.759","1334.11","-1179.95","-540.216","1210.8","-1437.27","-760.572","1027.9","-1002.33","-530.33","870.928","-1369.87","-668.742","145.378","-1307.68","-609.991","485.687","-1406.26","-672.453","1334.73","nan","nan","nan","nan","nan","nan","nan","nan","nan"
28,0,"-902.703","-657.553","1033.36","-1367.87","-535.27","978.541","-1198.09","-545.432","1603.85","-1055.59","-619.451","495.156","-1036.63","-687.71","125.392","-999.099","-658.651","1334.1","-1180.01","-540.137","1210.88","-1437.39","-760.456","1027.97","-1002.4","-530.183","870.962","-1369.89","-668.766","145.398","-1307.74","-609.995","485.673","-1406.27","-672.443","1334.8","nan","nan","nan","nan","nan","nan","nan","nan","nan"
29,0,"-902.726","-657.305","1033.38","-1367.92","-535.179","978.613","-1198.07","-545.482","1603.83","-1055.64","-619.381","495.157","-1036.66","-687.694","125.402","-999.091","-658.551","1334.11","-1180.07","-540.053","1210.94","-1437.52","-760.334","1028.05","-1002.44","-529.923","870.993","-1369.89","-668.741","145.339","-1307.79","-610.05","485.611","-1406.25","-672.46","1334.79","nan","nan","nan","nan","nan","nan","nan","nan","nan"
30,0,"-902.719","-657.024","1033.4","-1367.99","-535.088","978.726","-1198.03","-545.512","1603.82","-1055.74","-619.344","495.127","-1036.65","-687.684","125.389","-999.123","-658.51","1334.16","-1180.13","-539.968","1211.02","-1437.66","-760.189","1028.11","-1002.47","-529.612","871.011","-1369.91","-668.761","145.357","-1307.83","-610.083","485.586","-1406.27","-672.416","1334.85","nan","nan","nan","nan","nan","nan","nan","nan","nan"
31,0,"-902.698","-656.752","1033.43","-1368.08","-534.985","978.834","-1197.97","-545.532","1603.79","-1055.9","-619.306","495.06","-1036.66","-687.665","125.407","-999.154","-658.438","1334.16","-1180.2","-539.87","1211.1","-1437.82","-760.058","1028.21","-1002.49","-529.338","871.056","-1369.92","-668.776","145.371","-1307.89","-610.097","485.555","-1406.32","-672.348","1334.94","nan","nan","nan","nan","nan","nan","nan","nan","nan"
