Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (450)",,,"Reconstruction Position - Unlabeled Track (467)",,,"Reconstruction Position - Unlabeled Track (496)",,,"Reconstruction Position - Unlabeled Track (510)",,,"Reconstruction Position - Unlabeled Track (538)",,,"Reconstruction Position - Unlabeled Track (552)",,,"Reconstruction Position - Unlabeled Track (573)",,,"Reconstruction Position - Unlabeled Track (610)",,,"Reconstruction Position - Unlabeled Track (621)",,,"Reconstruction Position - Unlabeled Track (623)",,,"Reconstruction Position - Unlabeled Track (626)",,,"Reconstruction Position - Unlabeled Track (627)",,,"Reconstruction Position - Unlabeled Track (631)",,,"Reconstruction Position - Unlabeled Track (633)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
35,0,"800.021","97.5236","1348","332.812","155.165","976.074","836.098","216.789","1007.26","631.73","-17.141","1239.82","499.124","53.9805","421.533","811.015","189.487","80.6609","757.425","67.3227","430.582","458.96","-78.0246","882.896","420.543","74.2594","1306.25","624.864","-41.4178","1564.95","761.212","-32.503","1039.78","774.874","61.0942","945.184","nan","nan","nan","472.686","16.7445","928.813"
36,0,"799.996","97.5527","1348.04","332.776","155.165","976.094","836.167","216.793","1007.29","631.72","-17.0904","1239.87","499.101","54.0595","421.497","811.022","189.49","80.6593","757.449","67.3442","430.599","458.936","-78.0606","882.949","420.523","74.3649","1306.28","624.885","-41.2953","1564.95","761.202","-32.4828","1039.83","774.921","61.1538","945.187","nan","nan","nan","472.736","16.8299","928.804"
37,0,"799.995","97.5946","1348.08","332.75","155.183","976.105","836.238","216.797","1007.33","631.708","-17.0315","1239.92","499.12","54.1177","421.504","811.035","189.493","80.6536","757.468","67.3761","430.599","458.919","-78.0809","882.993","420.517","74.4594","1306.31","624.901","-41.1704","1564.93","761.202","-32.4498","1039.9","774.959","61.2214","945.206","nan","nan","nan","472.76","16.9049","928.81"
38,0,"799.971","97.6207","1348.12","332.716","155.183","976.131","836.315","216.814","1007.36","631.688","-16.9803","1239.97","499.124","54.1597","421.5","811.04","189.479","80.6671","757.509","67.3861","430.638","458.895","-78.086","883.03","420.497","74.5504","1306.35","624.925","-41.0544","1564.94","761.197","-32.4124","1039.95","774.995","61.2882","945.217","nan","nan","nan","472.779","16.9903","928.818"
39,0,"799.982","97.6656","1348.17","332.684","155.174","976.154","836.395","216.823","1007.42","631.672","-16.9266","1240.03","499.173","54.2214","421.52","811.042","189.49","80.6692","757.533","67.42","430.645","458.88","-78.1073","883.08","420.497","74.6403","1306.4","624.954","-40.9402","1564.94","761.202","-32.371","1039.99","775.039","61.3575","945.239","nan","nan","nan","472.811","17.0816","928.835"
40,0,"799.969","97.7247","1348.2","332.671","155.193","976.199","836.47","216.845","1007.45","631.655","-16.8804","1240.1","499.211","54.2557","421.534","811.045","189.501","80.6639","757.554","67.4688","430.658","458.878","-78.1333","883.123","420.47","74.7185","1306.46","624.982","-40.8317","1564.94","761.189","-32.3219","1040.04","775.092","61.4215","945.276","430.813","181.806","97.1513","472.85","17.1543","928.859"
41,0,"800.001","97.8009","1348.26","332.652","155.193","976.222","836.56","216.873","1007.51","631.655","-16.844","1240.18","499.257","54.2776","421.548","811.05","189.52","80.6581","757.576","67.5123","430.666","458.885","-78.1456","883.176","420.489","74.8016","1306.5","625.021","-40.7207","1564.94","761.182","-32.2592","1040.07","775.133","61.4957","945.297","nan","nan","nan","472.903","17.2254","928.881"
42,0,"800.025","97.8819","1348.32","332.622","155.196","976.273","836.636","216.93","1007.51","631.665","-16.804","1240.26","499.307","54.301","421.555","811.056","189.516","80.6306","757.621","67.5345","430.684","458.893","-78.1335","883.234","420.487","74.8769","1306.55","625.064","-40.6176","1564.95","761.17","-32.1836","1040.09","775.184","61.5681","945.316","nan","nan","nan","472.96","17.3029","928.911"
43,0,"800.038","97.9683","1348.35","332.586","155.189","976.319","836.715","216.991","1007.52","631.679","-16.7698","1240.35","499.387","54.3152","421.599","811.063","189.522","80.6294","757.649","67.5986","430.662","458.919","-78.1245","883.28","420.507","74.9476","1306.6","625.111","-40.5145","1564.95","761.171","-32.1079","1040.13","775.24","61.6383","945.344","nan","nan","nan","473.017","17.3459","928.939"
44,0,"800.078","98.0524","1348.41","332.541","155.184","976.366","836.8","217.042","1007.53","631.703","-16.7242","1240.42","499.405","54.3696","421.546","811.063","189.527","80.6162","757.665","67.6503","430.661","458.949","-78.0951","883.326","420.543","75.0049","1306.64","625.151","-40.405","1564.93","761.173","-32.0308","1040.16","775.288","61.7155","945.352","nan","nan","nan","473.077","17.4003","928.98"
