Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (712)",,,"Reconstruction Position - Unlabeled Track (715)",,,"Reconstruction Position - Unlabeled Track (718)",,,"Reconstruction Position - Unlabeled Track (719)",,,"Reconstruction Position - Unlabeled Track (721)",,,"Reconstruction Position - Unlabeled Track (726)",,,"Reconstruction Position - Unlabeled Track (740)",,,"Reconstruction Position - Unlabeled Track (744)",,,"Reconstruction Position - Unlabeled Track (745)",,,"Reconstruction Position - Unlabeled Track (751)",,,"Reconstruction Position - Unlabeled Track (754)",,,"Reconstruction Position - Unlabeled Track (755)",,,"Reconstruction Position - Unlabeled Track (756)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
29,0,"459.461","0.173725","415.789","596.319","-73.4715","1559.81","856.417","131.554","83.2018","778.484","28.2913","1340.99","607.357","-61.4221","1225.55","809.187","129.363","973.78","360.373","120.32","89.1656","350.023","124.712","945.305","763.789","-125.082","1026.47","757.716","15.8718","425.773","410.807","12.1141","1296.9","450.486","25.7974","946.722","425.423","-133.791","862.623","741.082","-26.454","944.592"
30,0,"459.531","0.233331","415.777","596.644","-73.0234","1559.99","856.415","131.57","83.1905","778.643","28.558","1340.88","607.486","-61.229","1225.55","809.259","129.355","973.609","360.37","120.348","89.1587","349.911","124.89","945.445","763.787","-125.067","1026.55","757.693","15.8574","425.777","410.896","12.3028","1297.03","450.511","25.8091","946.737","425.464","-133.537","862.739","741.115","-26.447","944.55"
31,0,"459.578","0.299837","415.76","596.982","-72.5998","1560.16","856.408","131.582","83.1877","778.816","28.8043","1340.77","607.598","-61.0168","1225.55","809.33","129.352","973.437","360.364","120.372","89.1598","349.799","125.074","945.613","763.794","-125.04","1026.63","757.682","15.8447","425.788","411.003","12.4745","1297.15","450.538","25.8415","946.738","425.491","-133.298","862.864","741.154","-26.423","944.505"
32,0,"459.602","0.353892","415.767","597.296","-72.1771","1560.32","856.405","131.597","83.187","778.955","29.0411","1340.63","607.717","-60.8074","1225.54","809.385","129.33","973.271","360.358","120.391","89.1753","349.708","125.246","945.763","763.805","-125.004","1026.7","757.674","15.833","425.777","411.114","12.6668","1297.27","450.543","25.8677","946.742","425.511","-133.077","862.979","741.196","-26.3915","944.448"
33,0,"459.632","0.413076","415.762","597.61","-71.7618","1560.45","856.396","131.609","83.1841","779.109","29.2851","1340.51","607.804","-60.6019","1225.51","809.43","129.356","973.044","360.379","120.4","89.1678","349.594","125.404","945.919","763.813","-124.971","1026.73","757.669","15.8018","425.771","411.262","12.8377","1297.36","450.555","25.9129","946.734","425.516","-132.867","863.099","741.232","-26.3286","944.367"
34,0,"459.656","0.452152","415.768","597.936","-71.3775","1560.59","856.386","131.601","83.1803","779.246","29.509","1340.37","607.899","-60.3915","1225.49","809.495","129.355","972.848","360.388","120.406","89.1741","349.501","125.546","946.063","763.817","-124.93","1026.75","757.663","15.7719","425.768","411.392","12.9752","1297.46","450.545","25.9483","946.724","425.518","-132.685","863.205","741.278","-26.2548","944.273"
35,0,"459.698","0.497246","415.769","598.263","-70.9987","1560.69","856.38","131.593","83.1811","779.393","29.7245","1340.24","608.002","-60.186","1225.46","809.549","129.374","972.663","360.394","120.395","89.1662","349.399","125.682","946.23","763.821","-124.889","1026.74","757.649","15.7457","425.759","411.516","13.1001","1297.56","450.549","26.0103","946.7","425.513","-132.524","863.302","741.323","-26.1684","944.181"
36,0,"459.728","0.527346","415.748","598.584","-70.6478","1560.8","856.376","131.577","83.1656","779.521","29.927","1340.11","608.115","-59.9715","1225.43","809.57","129.394","972.478","360.392","120.375","89.152","349.276","125.783","946.36","763.837","-124.848","1026.74","757.648","15.7188","425.73","411.641","13.2307","1297.67","450.539","26.0776","946.7","425.498","-132.382","863.39","741.367","-26.0669","944.087"
37,0,"459.729","0.539621","415.737","598.89","-70.2831","1560.89","856.37","131.561","83.1481","779.639","30.1529","1339.97","608.221","-59.7639","1225.4","809.575","129.423","972.309","360.395","120.349","89.1176","349.176","125.874","946.488","763.849","-124.798","1026.74","757.653","15.6907","425.709","411.756","13.3471","1297.79","450.528","26.1905","946.675","425.47","-132.25","863.47","741.42","-25.9449","943.988"
38,0,"459.71","0.571785","415.714","599.171","-69.9435","1560.96","856.362","131.539","83.145","779.748","30.3759","1339.86","608.328","-59.5695","1225.39","809.549","129.471","972.155","360.375","120.335","89.1058","349.065","125.956","946.616","763.859","-124.733","1026.74","757.664","15.6839","425.693","411.858","13.4668","1297.9","450.51","26.3047","946.666","425.446","-132.139","863.559","741.464","-25.8092","943.902"
