Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (712)",,,"Reconstruction Position - Unlabeled Track (714)",,,"Reconstruction Position - Unlabeled Track (715)",,,"Reconstruction Position - Unlabeled Track (718)",,,"Reconstruction Position - Unlabeled Track (719)",,,"Reconstruction Position - Unlabeled Track (726)",,,"Reconstruction Position - Unlabeled Track (739)",,,"Reconstruction Position - Unlabeled Track (740)",,,"Reconstruction Position - Unlabeled Track (741)",,,"Reconstruction Position - Unlabeled Track (742)",,,"Reconstruction Position - Unlabeled Track (743)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
57,0,"502.53","28.6863","420.088","608.537","-62.5615","1555.35","784.656","46.3578","428.127","858.721","171.785","82.136","795.135","84.398","1358.2","630.201","-32.2301","1238.9","435.522","154.557","85.6785","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
58,0,"502.517","28.5955","420.101","608.413","-62.5776","1555.38","784.693","46.4716","428.149","858.746","171.812","82.1258","795.047","84.3253","1358.27","630.192","-32.295","1238.9","435.528","154.563","85.6999","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
59,0,"502.524","28.5181","420.117","608.283","-62.5957","1555.42","784.726","46.5661","428.163","858.76","171.858","82.1135","794.962","84.2476","1358.35","630.154","-32.3473","1238.89","435.518","154.556","85.7239","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
60,0,"502.554","28.4474","420.121","608.157","-62.6135","1555.45","784.726","46.6359","428.152","858.776","171.914","82.0787","794.864","84.1617","1358.4","630.109","-32.4081","1238.87","435.512","154.541","85.735","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
61,0,"502.575","28.3713","420.126","608.007","-62.6361","1555.48","784.729","46.6871","428.1","858.776","171.952","82.0376","794.762","84.0701","1358.45","630.052","-32.4686","1238.86","435.511","154.541","85.7495","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
62,0,"502.615","28.2783","420.123","607.844","-62.6503","1555.52","784.715","46.7147","428.044","858.791","171.977","81.9969","794.662","83.9846","1358.5","629.98","-32.5378","1238.85","435.503","154.532","85.7669","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
63,0,"502.655","28.1949","420.13","607.647","-62.674","1555.55","784.685","46.727","427.959","858.815","172.006","81.9519","794.536","83.8825","1358.56","629.903","-32.6208","1238.84","435.512","154.528","85.7645","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
64,0,"502.697","28.1096","420.156","607.433","-62.6924","1555.58","784.684","46.7219","427.891","858.855","172.029","81.9153","794.408","83.7633","1358.62","629.813","-32.7274","1238.83","435.509","154.517","85.7572","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
65,0,"502.738","27.9919","420.192","607.189","-62.7039","1555.62","784.68","46.7385","427.804","858.887","172.052","81.8704","794.259","83.6396","1358.7","629.722","-32.8397","1238.82","435.515","154.515","85.7369","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
66,0,"502.784","27.8472","420.294","606.918","-62.7298","1555.67","784.727","46.75","427.745","858.92","172.098","81.8259","794.103","83.4936","1358.79","629.614","-32.9559","1238.79","435.533","154.515","85.7145","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
67,0,"502.902","27.7144","420.46","606.606","-62.757","1555.73","784.805","46.7716","427.691","858.966","172.146","81.7856","793.934","83.3263","1358.92","629.495","-33.0592","1238.78","435.539","154.531","85.69","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
